image,category,pred1,pred2,diff,lon,lat
Phu Ly City-31.jpeg,0,0.7512581,0.9356558,0.1843977,20.499295740311222N,105.91856790582808E
Cao Lanh City-665.jpeg,0,0.94458777,0.7618273,0.18276047000000006,10.454053539610522N,105.6276487312268E
Cao Lanh City-786.jpeg,0,0.8116786,0.6331053,0.17857330000000005,10.464833273713493N,105.61668682828926E
Cao Lanh City-1161.jpeg,0,0.55151284,0.7299375,0.17842466,10.49717247602242N,105.58106064374226E
Tam Điệp-549.jpeg,0,0.7856221,0.9631967,0.17757460000000003,20.15203467602668N,105.92684074811659E
Duy Tiên District-278.jpeg,0,0.78088623,0.95697373,0.17608749999999995,20.607918976170158N,105.97345057372313E
Duy Tiên District-715.jpeg,0,0.6344889,0.80832356,0.17383466000000003,20.637563244954233N,105.95905252570155E
Ninh Bình-286.jpeg,0,0.7286899,0.90172076,0.17303086,20.244222409005676N,105.96870816880897E
Binh Minh Town-851.jpeg,0,0.78232646,0.9505816,0.16825514000000008,10.071975342375989N,105.85700517877159E
Chau Doc City-1050.jpeg,0,0.76398253,0.9318053,0.1678227699999999,10.701174876080813N,105.13167552651802E
Bac Giang City-194.jpeg,0,0.73818505,0.9040936,0.16590855000000004,21.25644534227584N,106.1764865321534E
Trà Vinh City-211.jpeg,0,0.7945637,0.96040815,0.16584445000000003,9.92031957183329N,106.32902954770172E
Tam Điệp-194.jpeg,0,0.71816653,0.8821038,0.16393727000000002,20.1277802742943N,105.89526165286318E
Binh Minh Town-139.jpeg,0,0.73880035,0.9025747,0.16377434999999996,10.007296937758193N,105.86521588260781E
Tam Điệp-592.jpeg,0,0.7725056,0.9355214,0.16301579999999993,20.1547296095525N,105.92109909443417E
Tam Điệp-88.jpeg,0,0.8191382,0.9815337,0.16239549999999991,20.119695473716842N,105.89813247970443E
Châu Thành District-185.jpeg,0,0.79806536,0.9576111,0.1595457400000001,10.25700687077951N,106.23479623056335E
Yên Mỹ District-453.jpeg,0,0.67143357,0.83093387,0.15950029999999993,20.88283434273211N,106.07676138832541E
Binh Minh Town-1010.jpeg,0,0.69348097,0.8521745,0.15869352999999997,10.090839877056181N,105.82689926470547E
Trà Vinh City-104.jpeg,0,0.92539394,0.7669239,0.15847003999999998,9.906844904204586N,106.31534904879615E
Phu Ly City-215.jpeg,0,0.94316655,0.7859413,0.1572252500000001,20.52355014204364N,105.92432382387332E
Duy Tiên District-1337.jpeg,0,0.80122584,0.95774996,0.15652412000000004,20.67529231431579N,105.92449721044969E
Tam Điệp-233.jpeg,0,0.7930255,0.9470805,0.15405499999999994,20.13047520782012N,105.89813247970443E
Tây Ninh City-363.jpeg,0,0.8000087,0.953718,0.15370929999999994,11.334000372812936N,106.13612321167716E
Binh Minh Town-68.jpeg,0,0.7334946,0.5822245,0.15127009999999996,9.99921213718097N,105.86521588260781E
Trà Vinh City-167.jpeg,0,0.55000716,0.7003751,0.15036793999999998,9.914929704781807N,106.31808514857725E
