image,pred,lon,lat
Hoa Lư District-1071,0.9609828591346741,20.297704314771725N,105.94783524979243E
Tam Điệp-686,0.9609589576721191,20.160119476604144N,105.91248661391052E
Thanh Liêm District-178,0.960917592048645,20.399241608479503N,105.93908206929281E
Bac Giang City-805,0.9609156847000122,21.310344012792505N,106.16491887386432E
Yên Mỹ District-1081,0.9609153270721436,20.931343146197026N,106.05945353187091E
Long Hồ District-1281,0.9609079360961914,10.215973775367138N,105.98930263925763E
Cao Lanh City-226,0.9608056545257568,10.424409270827347N,105.63312968269553E
Phu Ly City-1059,0.9607969522476196,20.590923480189254N,105.93871361898645E
Long Xuyen City-28,0.9607929587364197,10.309804936694698N,105.43584763974262E
Hoa Lư District-1102,0.9607205390930176,20.30039924829755N,105.95070772529417E
Cao Lanh City-1158,0.9606806039810181,10.49717247602242N,105.5728392165391E
Duy Tiên District-359,0.9606506824493408,20.61600377674763N,105.98496901214044E
Long Hồ District-241,0.9606413841247559,10.156685237800811N,105.94548679033528E
Tam Điệp-549,0.9606351852416992,20.15203467602668N,105.92684074811658E
Phu Ly City-1042,0.9605612754821777,20.588228546663434N,105.9329577009412E
Tây Ninh City-644,0.9605228900909424,11.35825477454467N,106.0728999193974E
Yên Mỹ District-714,0.9605218172073364,20.90169887741291N,105.98445282056811E
Phu Ly City-541,0.9604780077934265,20.54510961025024N,105.89554423364706E
Hiệp Hòa District-1625,0.960469126701355,21.34568108157849N,106.02378409879131E
Duy Tiên District-331,0.960438072681427,20.6133088432218N,105.98496901214044E
Vĩnh Long-395,0.9604315757751465,10.257082205454338N,105.95828257437634E
Go Cong Town-582,0.9604271650314331,10.403474207795846N,106.67311243874127E
Long Xuyen City-433,0.9602863192558289,10.347534006055099N,105.45228581568648E
Long Hồ District-1562,0.960233747959137,10.242923110624565N,105.92631735643175E
Duy Tiên District-50,0.9602130651473999,20.57018990680861N,105.95905252570155E
Yên Mỹ District-778,0.9601848721504211,20.904393810938735N,106.05368424638608E
Duy Tiên District-698,0.9601492285728455,20.637563244954233N,105.91009916242808E
Tam Điệp-1146,0.9601376056671143,20.18706881186235N,105.87803669181591E
Go Cong Town-328,0.9600856304168701,10.376524872538408N,106.68133252539432E
Bac Giang City-368,0.9600561857223511,21.27261494343084N,106.19094610501479E
Yên Mỹ District-980,0.9600460529327393,20.920563412093717N,106.03060710444676E
Cai Lậy Town-1510,0.9600110054016113,10.476046311841023N,106.10187930657109E
Phu Ly City-754,0.9599781632423401,20.55858427787936N,105.9761270862806E
Phu Ly City-48,0.9599266052246094,20.50468560736287N,105.90993402876016E
Trà Vinh City-258,0.959912896156311,9.92840437241051N,106.32082124835837E
Tam Điệp-418,0.9598242044448853,20.143949875449223N,105.89526165286318E
Ninh Bình-282,0.9598231911659241,20.244222409005683N,105.95721863258582E
Cai Lậy Town-1367,0.959747314453125,10.462571644212304N,106.18134424358063E
Go Cong Town-731,0.9597269296646118,10.416948875424564N,106.6758524676256E
Long Xuyen City-884,0.9597049355506897,10.385263075415502N,105.43858733573327E
Vĩnh Long-153,0.9596866965293884,10.240912604299886N,105.96102123791452E
Sa Đéc City-404,0.9596784114837646,10.319269873671885N,105.74086240566176E
Sa Đéc City-388,0.9596667885780334,10.316574940146145N,105.74908020691991E
Hiệp Hòa District-624,0.9596330523490906,21.28908747753599N,105.94567015399605E
Long Xuyen City-1082,0.9596326351165771,10.404127610095701N,105.42214915978941E
Mỹ Tho-774,0.9595729112625122,10.38260914073993N,106.3930202782193E
Cao Lanh City-760,0.9594849944114685,10.462138340187751N,105.62764873122678E
Long Hồ District-1818,0.959483802318573,10.272567379407732N,106.02216452594939E
Cao Lanh City-935,0.9594148993492126,10.478307941342212N,105.61394635255486E
Cao Lanh City-560,0.959370493888855,10.44596873903329N,105.63038920696117E
Cai Lậy Town-1344,0.9593169093132019,10.462571644212304N,106.11832032802134E
Cao Lanh City-797,0.9592580795288086,10.464833273713497N,105.64683206136746E
Mỹ Hào District-931,0.9592373967170715,20.96353027915728N,106.09930084455222E
Mỹ Tho-324,0.9592182040214539,10.35296487195676N,106.34370720788299E
Trà Vinh City-107,0.9592158794403076,9.906844904204586N,106.32355734813949E
Mỹ Hào District-314,0.959193229675293,20.92041134274402N,106.08487470741343E
Sa Đéc City-553,0.959154486656189,10.343524275403572N,105.7381231385757E
Chau Doc City-966,0.9591269493103027,10.69578500902932N,105.10425040588055E
Phu Ly City-405,0.9591202139854431,20.534329876146938N,105.9876389223711E
Thái Bình-205,0.9590292572975159,20.436552908491254N,106.3205686880218E
Duy Tiên District-441,0.9590160250663757,20.62139364379928N,105.99072823134907E
Hung Yen City-319,0.9589254260063171,20.639477208555242N,106.04608267425627E
Long Hồ District-1285,0.9589047431945801,10.215973775367138N,106.00025660148823E
Chau Doc City-935,0.9589028358459473,10.693090075503575N,105.12619050239051E
Long Hồ District-1029,0.9588074088096619,10.197109240686942N,105.94822528089293E
Thanh Liêm District-1848,0.9588010907173157,20.507038949512445N,105.93045372805089E
Long Hồ District-500,0.9587948322296143,10.170159905429522N,105.91262490364353E
Long Xuyen City-977,0.958784282207489,10.39334787599273N,105.4413270317239E
Vĩnh Long-90,0.9587676525115967,10.235522737248402N,105.95554391083817E
Sa Đéc City-66,0.9587361812591553,10.27345600373426N,105.77373361069444E
Long Hồ District-836,0.9587246179580688,10.186329506583974N,105.91262490364353E
Châu Thành District-1529,0.95871901512146,10.294735940139905N,106.25944710444604E
Châu Thành District-2196,0.958695113658905,10.313600474820104N,106.23479623056335E
Yên Mỹ District-612,0.958692193031311,20.893614076835426N,106.04214567541645E
Duy Tiên District-715,0.958677351474762,20.637563244954233N,105.95905252570155E
Go Cong Town-966,0.9586350917816162,10.433118476579022N,106.68407255427864E
Phu Ly City-922,0.9586215019226074,20.57475387903431N,105.90993402876016E
Thanh Liêm District-1150,0.9585739970207214,20.463920013099266N,105.95058652428204E
Long Hồ District-1028,0.9585537910461426,10.197109240686942N,105.94548679033528E
Hiệp Hòa District-1120,0.9585229158401489,21.318731746320154N,106.00353233532584E
Bac Giang City-233,0.9585195779800415,21.259140275801677N,106.21118950702068E
Cao Lanh City-880,0.9584635496139526,10.472918074290726N,105.63312968269553E
Long Hồ District-1991,0.9583760499954224,10.286042047036446N,105.9810871675847E
Cai Lậy Town-813,0.958347499370575,10.422147641326156N,106.18134424358063E
Trà Vinh City-339,0.9583195447921753,9.94457397356496N,106.34271004660732E
Go Cong Town-1236,0.9583037495613098,10.476237412990915N,106.64297212101346E
Tam Điệp-624,0.9583024978637695,20.157424543078324N,105.8751658649747E
Bac Giang City-743,0.9583008289337158,21.302259212215N,106.17937844672568E
Long Xuyen City-1164,0.9582870006561279,10.412212410672934N,105.43036824776134E
