Unnamed: 0,image,pred,lon,lat,found_Anditi
113,Trà Vinh City-493.jpeg,0.9685999825596808,106.31671709868672N,9.909539837730343E,[]
114,Go Cong Town-3600.jpeg,0.968588910996914,106.6922926409317N,10.429076076290466E,[]
115,Go Cong Town-3512.jpeg,0.9685604423284532,106.67859249650996N,10.427728609527595E,[]
116,Tam Điệp-1576.jpeg,0.9685373529791832,105.87803669181591N,20.142602408686262E,"['892.jpeg', '889.jpeg']"
117,Go Cong Town-4181.jpeg,0.9684943705797197,106.64708216433996N,10.43985581039345E,[]
118,Go Cong Town-3682.jpeg,0.9683920219540596,106.5881715433265N,10.431771009816211E,[]
119,Thái Bình-2194.jpeg,0.9683456346392632,106.35076939087223N,20.46484971051231E,[]
120,Go Cong Town-2231.jpeg,0.9683115556836128,106.6347520343604N,10.402126741033015E,[]
121,Go Cong Town-3152.jpeg,0.9682911783456802,106.63886207768692N,10.422338742476105E,[]
122,Go Cong Town-3156.jpeg,0.9682728797197342,106.64434213545564N,10.422338742476105E,[]
124,Thái Bình-289.jpeg,0.9682230427861214,106.32488307414329N,20.4217307740992E,"['445.jpeg', '446.jpeg']"
125,Hung Yen City-1316.jpeg,0.9681765735149384,106.10080552328174N,20.6394772085552E,[]
128,Duy Tiên District-3077.jpeg,0.967984065413475,105.99216803615124N,20.640258178479957E,['311.jpeg']
129,Go Cong Town-2678.jpeg,0.9679399579763412,106.63338201991824N,10.412906475136E,[]
130,Hung Yen City-1297.jpeg,0.9679185673594476,106.07344409876902N,20.6394772085552E,[]
131,Hiệp Hòa District-6599.jpeg,0.9679174050688744,105.93988393586307N,21.348376015104158E,"['148.jpeg', '147.jpeg']"
132,Long Xuyen City-3556.jpeg,0.9679055586457253,105.41940946379876N,10.38661054217843E,[]
133,Phu Ly City-674.jpeg,0.9678305089473724,105.96893218872448N,20.51950774175486E,"['356.jpeg', '355.jpeg']"
137,Go Cong Town-2866.jpeg,0.9677255228161812,106.62927197659172N,10.416948875424618E,[]
138,Bac Giang City-2506.jpeg,0.9676811024546624,106.20685163516228N,21.291479478111572E,"['199.jpeg', '200.jpeg']"
139,Thái Bình-1246.jpeg,0.9676252603530884,106.33351184638626N,20.444637709068665E,"['860.jpeg', '438.jpeg']"
140,Go Cong Town-1607.jpeg,0.967607244849205,106.6922926409317N,10.384609673115675E,[]
141,Duy Tiên District-3258.jpeg,0.9675745144486428,105.96913115931666N,20.642953112005777E,[]
144,Phu Ly City-3816.jpeg,0.9673985987901688,105.94590851654337N,20.577448812560007E,['345.jpeg']
145,Duy Tiên District-3437.jpeg,0.9673380851745604,105.94321467287777N,20.645648045531594E,[]
146,Duy Tiên District-593.jpeg,0.9671647027134896,105.97920979293177N,20.589054441489335E,"['340.jpeg', '341.jpeg']"
147,Duy Tiên District-1115.jpeg,0.9671328365802764,105.93601564886697N,20.609266442933002E,[]
149,Long Xuyen City-876.jpeg,0.9671020656824112,105.48379231957885N,10.328669471374916E,"['932.jpeg', '931.jpeg']"
150,Go Cong Town-1990.jpeg,0.9670577719807624,106.67037240985691N,10.395389407218653E,[]
151,Go Cong Town-4856.jpeg,0.9670446962118148,106.64434213545564N,10.469500079176646E,[]
152,Châu Thành District-6614.jpeg,0.9670387730002404,106.3607895859649N,10.297430873665688E,[]
153,Tam Điệp-2929.jpeg,0.9670097157359124,105.91822826759295N,20.162814410129887E,[]
154,Phu Ly City-820.jpeg,0.9669495970010756,105.96029831165657N,20.522202675280678E,[]
155,Go Cong Town-3593.jpeg,0.9669087305665016,106.68270253983648N,10.429076076290466E,['601.jpeg']
156,Phu Ly City-2028.jpeg,0.9668924808502196,105.89698321315845N,20.542414676724338E,[]
157,Thái Bình-743.jpeg,0.9668378084897996,106.38240822242985N,20.433857974965385E,"['460.jpeg', '461.jpeg']"
160,Trà Vinh City-663.jpeg,0.966786652803421,106.32902954770172N,9.914929704781827E,[]
161,Tam Điệp-2441.jpeg,0.9667804092168808,105.93258240179902N,20.156077076315338E,[]
162,Duy Tiên District-1761.jpeg,0.9667726308107376,106.01520491298577N,20.621393643799195E,[]
