image,pred,lat,lon,found_Anditi
Cao Lanh City-2891.jpeg,0.9756226912140846,10.459443406662043N,105.6070951632189E,[]
Long Xuyen City-4026.jpeg,0.9756194725632668,10.397390276281406N,105.40982052783156E,[]
Trà Vinh City-1773.jpeg,0.9756081774830818,9.960743574719457N,106.33860589693562E,[]
Go Cong Town-2123.jpeg,0.9755868837237358,10.399431807507273N,106.6361220488026E,[]
Sa Đéc City-2830.jpeg,0.9755582734942436,10.370473610661076N,105.71483936834429E,[]
Trà Vinh City-101.jpeg,0.9755496084690094,9.893370236575885N,106.34271004660732E,"['752.jpeg', '738.jpeg']"
Go Cong Town-3971.jpeg,0.975482203066349,10.435813410104826N,106.66078230876171E,['847.jpeg']
Cai Lậy Town-5722.jpeg,0.9754319861531258,10.467961511263871N,106.17449381797637E,[]
Go Cong Town-1448.jpeg,0.9754210337996484,10.380567272827056N,106.67722248206778E,[]
Cai Lậy Town-5980.jpeg,0.9754047766327858,10.473351378315359N,106.15120237092184E,[]
Long Hồ District-5754.jpeg,0.9753823056817056,10.229448442995913N,105.98382565814235E,[]
Long Hồ District-1274.jpeg,0.9753737971186638,10.16072763808944N,105.95233301672941E,['655.jpeg']
Cai Lậy Town-4792.jpeg,0.9752440601587296,10.450444443346525N,106.17860407333892E,[]
Chau Doc City-4675.jpeg,0.9751881584525108,10.715997010472476N,105.11384919810367E,"['466.jpeg', '467.jpeg']"
Tây Ninh City-1772.jpeg,0.9751169458031654,11.342085173390213N,106.11688134011352E,['97.jpeg']
Go Cong Town-2054.jpeg,0.9750961437821388,10.396736873981526N,106.68544256872082E,[]
Cai Lậy Town-4438.jpeg,0.9750948622822762,10.445054576295032N,106.11283998753794E,[]
Cai Lậy Town-3883.jpeg,0.9750934690237044,10.435622308954924N,106.10735964705452E,[]
Binh Minh Town-3421.jpeg,0.9749542251229286,10.073322809138919N,105.85153137621441E,[]
Cai Lậy Town-6652.jpeg,0.9748959094285964,10.493563379758449N,106.09228871072513E,"['761.jpeg', '760.jpeg', '762.jpeg']"
Cai Lậy Town-3598.jpeg,0.97488135099411,10.430232441903435N,106.10872973217536E,[]
Trà Vinh City-1016.jpeg,0.9748721793293952,9.92840437241054N,106.32218929824893E,[]
Long Xuyen City-3758.jpeg,0.9748690947890282,10.390652942467048N,105.44406672771456E,[]
Cai Lậy Town-3582.jpeg,0.9748303890228271,10.428884975140564N,106.17860407333892E,[]
Trà Vinh City-1236.jpeg,0.9747484549880028,9.939184106513508N,106.35228639584123E,[]
Sa Đéc City-648.jpeg,0.9747383520007132,10.285583204600115N,105.76962471006567E,[]
Long Xuyen City-3817.jpeg,0.9747231528162956,10.392000409229915N,105.44269687971922E,[]
Go Cong Town-2545.jpeg,0.974707804620266,10.408864074847378N,106.68818259760518E,[]
Phu Ly City-2876.jpeg,0.974688321352005,20.557236811116354N,105.92864076240751E,[]
Trà Vinh City-316.jpeg,0.9746387153863908,9.902802503915984N,106.34407809649787E,"['751.jpeg', '731.jpeg']"
Mỹ Hào District-2246.jpeg,0.97463808208704,20.93927587742473N,106.04592413713877E,['212.jpeg']
Cai Lậy Town-3239.jpeg,0.9746318832039832,10.422147641326202N,106.19093483942662E,[]
Long Xuyen City-2355.jpeg,0.9746254086494446,10.362356140446725N,105.43447779174731E,[]
Long Hồ District-4159.jpeg,0.9746115058660508,10.197109240686984N,106.00984131843998E,[]
Long Xuyen City-4855.jpeg,0.9746021628379822,10.417602277724498N,105.43995718372858E,[]
Cai Lậy Town-5559.jpeg,0.9745926707983016,10.465266577738122N,106.14572203043844E,[]
Trà Vinh City-664.jpeg,0.9745449125766754,9.914929704781827N,106.3303975975923E,[]
Long Hồ District-1165.jpeg,0.9745424091815948,10.15938017132657N,105.94959452617174E,['655.jpeg']
Sa Đéc City-583.jpeg,0.9745215624570848,10.284235737837246N,105.73401423794677E,[]
Trà Vinh City-862.jpeg,0.9745212346315384,9.921667038596183N,106.33450174726396E,[]
Long Hồ District-1273.jpeg,0.9744835570454596,10.16072763808944N,105.95096377145056E,['655.jpeg']
Cao Lanh City-3671.jpeg,0.9744496420025826,10.476960474579384N,105.61942730402366E,['508.jpeg']
Cao Lanh City-4196.jpeg,0.9744375422596931,10.487740208682368N,105.60161421175015E,['505.jpeg']
Trà Vinh City-693.jpeg,0.9744307696819304,9.916277171544703N,106.31671709868672E,[]
Long Hồ District-1425.jpeg,0.9743706211447716,10.162075104852311N,106.01531829955528E,['567.jpeg']
Long Xuyen City-2894.jpeg,0.9743482992053032,10.373135874549702N,105.4413270317239E,[]
Duy Tiên District-566.jpeg,0.9742850810289384,20.587706974726427N,105.97776998812962E,"['340.jpeg', '341.jpeg']"
Thái Bình-2764.jpeg,0.9742762297391891,20.47967184490432N,106.36658880665104E,[]
Long Hồ District-3995.jpeg,0.9742755368351936,10.194414307161237N,105.99888735620941E,[]
Cai Lậy Town-6333.jpeg,0.9742685556411744,10.481436178892595N,106.14709211555929E,[]
Trà Vinh City-103.jpeg,0.9742684587836266,9.893370236575885N,106.34544614638844E,"['752.jpeg', '738.jpeg']"
Trà Vinh City-1870.jpeg,0.974267452955246,9.963438508245199N,106.34544614638844E,[]
Trà Vinh City-300.jpeg,0.9742462709546088,9.902802503915984N,106.32218929824893E,[]
Long Hồ District-5054.jpeg,0.9741798937320708,10.21597377536719N,105.93727131866235E,[]
Tam Điệp-1630.jpeg,0.9741433560848236,20.14394987544917N,105.8464575965625E,[]
Châu Thành District-1277.jpeg,0.9741311892867088,10.262396737831006N,106.23479623056382E,[]
Trà Vinh City-235.jpeg,0.9741029068827628,9.90010757039024N,106.32902954770172E,[]
Trà Vinh City-1209.jpeg,0.9740975573658944,9.937836639750643N,106.3495502960601E,['743.jpeg']
Cao Lanh City-3498.jpeg,0.974051170051098,10.47291807429077N,105.63312968269553E,[]
Trà Vinh City-1327.jpeg,0.9740476310253144,9.944573973564998N,106.34407809649787E,[]
Long Hồ District-1056.jpeg,0.9740207642316818,10.158032704563702N,105.94548679033528E,['36.jpeg']
Cao Lanh City-4640.jpeg,0.9739927798509598,10.495825009259605N,105.64683206136746E,[]
Long Xuyen City-3487.jpeg,0.9739659130573272,10.385263075415558N,105.41666976780813E,['919.jpeg']
Trà Vinh City-353.jpeg,0.9739461168646812,9.904149970678857N,106.34271004660732E,"['751.jpeg', '731.jpeg']"
Cai Lậy Town-6008.jpeg,0.9739227890968324,10.474698845078231N,106.0991391363294E,[]
Cao Lanh City-4415.jpeg,0.9739191830158234,10.491782608970986N,105.62079754189082E,[]
Long Hồ District-1516.jpeg,0.9738697037100792,10.163422571615186N,105.98930263925763E,[]
Cao Lanh City-4226.jpeg,0.9738537147641182,10.487740208682368N,105.6427213477659E,[]
Trà Vinh City-1517.jpeg,0.9738181829452516,9.952658774142225N,106.33450174726396E,[]
Cai Lậy Town-6299.jpeg,0.9738029316067696,10.481436178892595N,106.10050922145024E,[]
Long Xuyen City-2584.jpeg,0.9737268909811974,10.367746007498214N,105.37831402393917E,[]
Long Hồ District-1381.jpeg,0.9737233445048332,10.162075104852311N,105.95233301672941E,[]
Tây Ninh City-671.jpeg,0.9736375957727432,11.316483304895591N,106.13337437288207E,[]
Cai Lậy Town-6619.jpeg,0.9735966697335244,10.492215912995576N,106.09091862560427E,[]
Hung Yen City-1297.jpeg,0.9735786467790604,20.6394772085552N,106.07344409876902E,[]
Cai Lậy Town-3706.jpeg,0.973565898835659,10.43157990866631N,106.16353313700955E,[]
Phu Ly City-17.jpeg,0.9735629335045816,20.48851600620792N,105.90417811071508E,[]
Trà Vinh City-2887.jpeg,0.9735482931137084,9.990387843502628N,106.31671709868672E,[]
Trà Vinh City-179.jpeg,0.9735407829284668,9.8974126368645N,106.34134199671676E,[]
