,image,pred,lon,lat,anditi_id
21,Yên Mỹ District-2234.jpeg,0.9669107,20.890919143309524N,106.0205108548486E,247
50,Mỹ Hào District-791.jpeg,0.9668615,20.90828414187774N,106.10939914054936E,222
104,Cao Lanh City-4196.jpeg,0.96683306,10.487740208682368N,105.60161421175015E,505
163,Binh Minh Town-3149.jpeg,0.96683013,10.066585475324558N,105.81732011023E,27
63,Duy Tiên District-985.jpeg,0.96682984,20.605224042644267N,105.9561729160972E,334
147,Yên Mỹ District-1817.jpeg,0.9667695,20.884181809494965N,106.03349174718953E,246
193,Yên Mỹ District-738.jpeg,0.9665921,20.86531727481419N,106.02483781896224E,253
150,Yên Mỹ District-738.jpeg,0.9665921,20.86531727481419N,106.02483781896224E,254
220,Ninh Bình-2308.jpeg,0.96657133,20.28060401160416N,105.9600910166416E,864
363,Hiệp Hòa District-9242.jpeg,0.9665689,21.398232285332018N,105.99485300812638E,133
30,Tam Điệp-2689.jpeg,0.966544,20.16011947660407N,105.87085962471284E,429
552,Thái Bình-742.jpeg,0.96651614,20.433857974965385N,106.38097009372268E,460
99,Long Xuyen City-1243.jpeg,0.96638393,10.336754271952149N,105.4742033836116E,930
3,Tam Điệp-1836.jpeg,0.96622366,20.146644808974987N,105.92253450785479E,897
100,Chau Doc City-428.jpeg,0.966128,10.632454071174337N,105.09876538175307E,477
173,Cao Lanh City-1977.jpeg,0.9661003,10.441926338744695N,105.60572492535172E,497
126,Chau Doc City-4520.jpeg,0.9660876,10.70925967665811N,105.12070547826302E,469
149,Cao Lanh City-3980.jpeg,0.96607435,10.483697808393746N,105.58243088160945E,500
65,Tây Ninh City-1446.jpeg,0.9659931,11.335347839575835N,106.08389527457642E,962
215,Duy Tiên District-4760.jpeg,0.96598166,20.66451258021235N,105.9417748680756E,323
277,Duy Tiên District-4760.jpeg,0.96598166,20.66451258021235N,105.9417748680756E,324
296,Duy Tiên District-4976.jpeg,0.96596676,20.66720751373818N,106.02384374179874E,307
312,Binh Minh Town-2171.jpeg,0.9659147,10.043678540355744N,105.8624789813294E,540
36,Hiệp Hòa District-957.jpeg,0.96591294,21.260790675514695N,105.97315469012771E,170
