image,pred,lon,lat
Tam Điệp-271.jpeg,0.9237322807312012,20.13317014134594N,105.90100330654563E
Thanh Liêm District-636.jpeg,0.9233258068561554,20.434275744315205N,105.96209097927128E
Phu Ly City-691.jpeg,0.9232195988297462,20.555889344353528N,105.90130015169234E
Yên Mỹ District-334.jpeg,0.9227888658642769,20.877444475680456N,105.97291424959843E
Tam Điệp-126.jpeg,0.9219543635845184,20.12239040724266N,105.90961578706928E
Phu Ly City-419.jpeg,0.9206040427088737,20.537024809672765N,105.90417811071494E
Yên Mỹ District-418.jpeg,0.9205202534794807,20.88283434273211N,105.97579889234086E
Thanh Liêm District-1245.jpeg,0.9204351678490639,20.46930988015091N,105.95346263802935E
Châu Thành District-391.jpeg,0.9203292429447174,10.265091671356737N,106.21836231464154E
Binh Minh Town-808.jpeg,0.920041486620903,10.069280408850249N,105.80774095575431E
Long Xuyen City-746.jpeg,0.9198342859745026,10.374483341312532N,105.43584763974262E
Sa Đéc City-553.jpeg,0.917827196419239,10.343524275403572N,105.7381231385757E
Hung Yen City-236.jpeg,0.9144173488020897,20.63139240797777N,106.0835246235895E
Bến Tre City-220.jpeg,0.9141627922654152,10.221940538394358N,106.36527767355018E
Hiệp Hòa District-842.jpeg,0.9134483560919762,21.302562145165147N,105.99774611719289E
Châu Thành District-1529.jpeg,0.9122367352247238,10.294735940139905N,106.25944710444604E
Mỹ Hào District-301.jpeg,0.911868505179882,20.917716409218183N,106.136808801113E
Tam Điệp-859.jpeg,0.9116386026144028,20.168204277181605N,105.93545322864026E
Hoa Lư District-151.jpeg,0.9114363342523575,20.200686707842156N,105.97081505380626E
Tam Điệp-469.jpeg,0.9114085659384727,20.146644808975044N,105.93258240179902E
Mỹ Tho-239.jpeg,0.9109816923737526,10.347575004905272N,106.3272695177709E
Bac Giang City-482.jpeg,0.9101536124944687,21.280699744008338N,106.21118950702068E
Yên Mỹ District-467.jpeg,0.90997564047575,20.885529276257937N,105.99310674879534E
Long Hồ District-1327.jpeg,0.9079990684986115,10.221363642418622N,105.9345328281047E
Hiệp Hòa District-1852.jpeg,0.9072956666350365,21.359155749207655N,106.00063922625938E
Hiệp Hòa District-1785.jpeg,0.9056270271539688,21.356460815681825N,105.93699082679657E
Yên Mỹ District-1081.jpeg,0.9055512249469757,20.931343146197026N,106.05945353187091E
Binh Minh Town-787.jpeg,0.9053806588053703,10.066585475324505N,105.81868856086925E
Mỹ Tho-816.jpeg,0.9048200026154518,10.385304074265676N,106.40397873829403E
Binh Minh Town-841.jpeg,0.9046946838498116,10.071975342375989N,105.82963616598423E
Bac Giang City-368.jpeg,0.9035125374794006,21.27261494343084N,106.19094610501479E
Mỹ Tho-324.jpeg,0.9019238203763962,10.35296487195676N,106.34370720788299E
Chau Doc City-352.jpeg,0.9017258137464523,10.655361006143153N,105.12344799032675E
Bac Giang City-194.jpeg,0.90108422935009,21.25644534227584N,106.1764865321534E
Tam Điệp-418.jpeg,0.9009444564580917,20.143949875449223N,105.89526165286318E
Vĩnh Long-270.jpeg,0.9003169387578964,10.248997404877112N,105.96102123791452E
Tây Ninh City-1662.jpeg,0.8997980356216431,11.431017979739876N,106.11413250131899E
Bac Giang City-358.jpeg,0.898752748966217,21.27261494343084N,106.16202695929204E
Binh Minh Town-731.jpeg,0.8986559584736824,10.061195608273021N,105.80500405447557E
Cao Lanh City-797.jpeg,0.8976460918784142,10.464833273713497N,105.64683206136746E
Hiệp Hòa District-120.jpeg,0.897520586848259,21.24596854112266N,105.94856326306252E
Hiệp Hòa District-8.jpeg,0.8969844579696655,21.227104006441834N,105.96881502652796E
Cai Lậy Town-813.jpeg,0.896976999938488,10.422147641326156N,106.18134424358063E
Yên Mỹ District-563.jpeg,0.8966414704918861,20.89091914330959N,106.02483781896193E
Phu Ly City-968.jpeg,0.8961298391222954,20.58014374608595N,105.88691035657918E
Duy Tiên District-232.jpeg,0.8950863033533096,20.602529109118507N,105.97345057372313E
Bac Giang City-818.jpeg,0.8948429077863693,21.310344012792505N,106.20251376330387E
Thanh Liêm District-967.jpeg,0.8947978615760803,20.45314027899597N,105.97359543426047E
Hiệp Hòa District-1802.jpeg,0.8944091796875,21.356460815681825N,105.98617368092694E
Cao Lanh City-737.jpeg,0.8943170756101608,10.45944340666201N,105.64957253710186E
Go Cong Town-102.jpeg,0.8942163288593292,10.352270470806722N,106.6922926409317E
Tam Điệp-550.jpeg,0.8939845040440559,20.15203467602668N,105.92971157495782E
Châu Thành District-674.jpeg,0.8931993395090103,10.273176471933965N,106.25396913247211E
Vĩnh Long-537.jpeg,0.8922524675726891,10.267861939557308N,105.91720262130362E
Duy Tiên District-368.jpeg,0.8918782472610474,20.61600377674763N,106.0224039369966E
Hiệp Hòa District-1120.jpeg,0.8911430463194847,21.318731746320154N,106.00353233532584E
Ninh Bình-322.jpeg,0.8907436281442642,20.2469173425315N,105.9888148571995E
Binh Minh Town-916.jpeg,0.890234187245369,10.080060142953212N,105.83237306726295E
Binh Minh Town-759.jpeg,0.8898057267069817,10.063890541798765N,105.81047785703304E
Long Hồ District-241.jpeg,0.8888057395815849,10.156685237800811N,105.94548679033528E
Phu Ly City-535.jpeg,0.8885113820433617,20.54510961025024N,105.8782764795113E
Ninh Bình-294.jpeg,0.88777194917202,20.244222409005683N,105.9916872412553E
Hiệp Hòa District-203.jpeg,0.8871717378497124,21.256748275225995N,105.963028808395E
Hung Yen City-59.jpeg,0.8827994912862778,20.615222806822818N,106.0835246235895E
Thanh Liêm District-1055.jpeg,0.8806020691990852,20.458530146047615N,105.94771041053473E
Bến Tre City-570.jpeg,0.8801252245903015,10.248889873651782N,106.33789237437865E
Duy Tiên District-151.jpeg,0.8800975009799004,20.589054441489374N,105.97920979293177E
Tam Điệp-343.jpeg,0.8778367191553116,20.13856000839758N,105.89813247970444E
Cao Lanh City-760.jpeg,0.8774129301309586,10.462138340187751N,105.62764873122678E
Long Xuyen City-1132.jpeg,0.8766291625797749,10.40951747714719N,105.41393007181749E
Thái Bình-606.jpeg,0.8751827478408813,20.471587044326956N,106.31481617319312E
Mỹ Tho-348.jpeg,0.874201811850071,10.35296487195676N,106.40945796833137E
Vĩnh Long-315.jpeg,0.8726796582341194,10.251692338402854N,105.97197589206726E
Hiệp Hòa District-1812.jpeg,0.8714489415287971,21.356460815681825N,106.01510477159182E
Phu Ly City-302.jpeg,0.8713269382715225,20.528940009095287N,105.93871361898645E
Phu Ly City-726.jpeg,0.8711507171392441,20.55858427787936N,105.89554423364706E
Hiệp Hòa District-162.jpeg,0.8711134716868401,21.251358408174323N,105.95724259026198E
Tây Ninh City-705.jpeg,0.8696868568658829,11.360949708070418N,106.13062553408761E
Châu Thành District-1138.jpeg,0.8686108365654945,10.283956206036935N,106.35531161398983E
Tam Điệp-592.jpeg,0.8685802444815636,20.1547296095525N,105.92109909443417E
Tam Điệp-367.jpeg,0.8663791045546532,20.141254941923396N,105.85794090392736E
Thái Bình-617.jpeg,0.866278663277626,20.471587044326956N,106.34645500475075E
Hiệp Hòa District-1287.jpeg,0.8655151799321175,21.329511480423488N,105.94567015399605E
Thanh Liêm District-1150.jpeg,0.8638392984867096,20.463920013099266N,105.95058652428204E
Mỹ Hào District-290.jpeg,0.8625950701534748,20.917716409218183N,106.10507129940774E
Mỹ Hào District-9.jpeg,0.8615302667021751,20.87998733985659N,106.09641561712445E
Thái Bình-733.jpeg,0.8608290180563927,20.48506171195607N,106.34645500475075E
Hoa Lư District-1205.jpeg,0.8604809418320656,20.311178982400836N,105.93921782328722E
Chau Doc City-1050.jpeg,0.8580028042197227,10.701174876080813N,105.13167552651802E
Thanh Liêm District-1737.jpeg,0.8568908795714378,20.498954148934974N,105.95346263802935E
Mỹ Tho-518.jpeg,0.8549621477723122,10.366439539585475N,106.3272695177709E
Thanh Liêm District-693.jpeg,0.8545771315693855,20.439665611366852N,105.8729314531048E
Cai Lậy Town-866.jpeg,0.8542963415384293,10.427537508377641N,106.1320211792299E
Hiệp Hòa District-2042.jpeg,0.8534280434250832,21.372630416836827N,105.98328057186043E
Go Cong Town-113.jpeg,0.8522978648543358,10.354965404332471N,106.66489235208824E
Bac Giang City-3.jpeg,0.8513688445091248,21.22141120644002N,106.19672993415931E
Mỹ Hào District-811.jpeg,0.8513505458831787,20.955445478579797N,106.05313720570813E
Thanh Liêm District-1725.jpeg,0.8504069820046425,20.498954148934974N,105.91894927306168E
Thái Bình-589.jpeg,0.8501326069235802,20.468892110801132N,106.34070248992211E
Hiệp Hòa District-10.jpeg,0.850064255297184,21.227104006441834N,105.97460124466096E
Phu Ly City-418.jpeg,0.849982351064682,20.537024809672765N,105.90130015169234E
Tam Điệp-189.jpeg,0.8495443016290665,20.1277802742943N,105.8809075186571E
Bac Giang City-587.jpeg,0.8484842330217361,21.28878454458584N,106.19672993415931E
Yên Mỹ District-811.jpeg,0.8466352801769972,20.907088744464566N,106.039261032674E
Châu Thành District-1226.jpeg,0.8452508971095085,10.286651139562677N,106.2950539222766E
Hoa Lư District-120.jpeg,0.8433822020888329,20.197991774316336N,105.97081505380626E
Thanh Liêm District-1534.jpeg,0.8433645218610764,20.48547948130585N,105.96496709301853E
Yên Mỹ District-1055.jpeg,0.8422603234648705,20.928648212671206N,106.03637638993158E
Ninh Bình-164.jpeg,0.8412470817565918,20.23074774137657N,105.99743200936688E
