,image,pred,lon,lat
31401,Phu Ly City-379.jpeg,0.038114768,20.534329876146938N,105.91281198778282E
31402,Mỹ Tho-726.jpeg,0.038099386,10.379914207214187N,106.36562412803248E
31403,Hoa Lư District-202.jpeg,0.038098283,20.206076574893796N,105.93634534778549E
31407,Bac Giang City-797.jpeg,0.03808261,21.30764907926667N,106.1996218487316E
31408,Hiệp Hòa District-2411.jpeg,0.038078107,21.410359486198505N,105.99195989905992E
31409,Hiệp Hòa District-2047.jpeg,0.038076956,21.372630416836827N,105.99774611719289E
31410,Hoa Lư District-680.jpeg,0.038076825,20.257280311884397N,105.92485544577856E
31413,Binh Minh Town-930.jpeg,0.03805801,10.082755076478954N,105.80500405447557E
31414,Go Cong Town-497.jpeg,0.038055766,10.395389407218614N,106.66489235208823E
31415,Tam Điệp-1059.jpeg,0.038043138,20.178984011284886N,105.93258240179902E
31416,Hiệp Hòa District-2286.jpeg,0.038037345,21.396884818569333N,105.9659219174615E
31417,Bac Giang City-553.jpeg,0.038030084,21.286089611060007N,106.19672993415932E
31418,Hoa Lư District-18.jpeg,0.038026273,20.181822173161407N,105.94783524979243E
31420,Yên Mỹ District-1133.jpeg,0.038014475,20.950207680877828N,106.02772246170434E
31421,Hiệp Hòa District-1889.jpeg,0.03800618,21.36185068273349N,105.98038746279394E
31422,Hiệp Hòa District-1039.jpeg,0.0380048,21.31603681279432N,105.89938040893217E
31423,Phu Ly City-43.jpeg,0.03800106,20.50468560736287N,105.89554423364706E
31424,Hung Yen City-835.jpeg,0.037992895,20.704155613175065N,106.03456207446143E
31425,Tây Ninh City-1616.jpeg,0.03798692,11.425628112688381N,106.13337437288239E
31426,Hoa Lư District-859.jpeg,0.037984297,20.281534713616793N,105.90474811726644E
31427,Bac Giang City-593.jpeg,0.03798426,21.28878454458584N,106.21408142159298E
31428,Phu Ly City-625.jpeg,0.03798406,20.550499477301887N,105.91856790582808E
31429,Tam Điệp-802.jpeg,0.037979174,20.165509343655785N,105.93545322864026E
31430,Yên Mỹ District-545.jpeg,0.03797577,20.8909191433096N,105.97291424959843E
31431,Mỹ Hào District-398.jpeg,0.03797522,20.925801209795672N,106.14257925596853E
31432,Hiệp Hòa District-1010.jpeg,0.037973303,21.313341879268485N,105.94856326306252E
31433,Tây Ninh City-1237.jpeg,0.037970264,11.395983843905146N,106.1031371461399E
31436,Hiệp Hòa District-1604.jpeg,0.03795317,21.34568108157849N,105.963028808395E
31437,Thái Bình-377.jpeg,0.037947398,20.450027576120366N,106.32632120285044E
31438,Duy Tiên District-895.jpeg,0.037945587,20.648342979057535N,105.90721955282378E
31439,Hoa Lư District-37.jpeg,0.03793128,20.189906973738868N,105.92485544577856E
31440,Chau Doc City-1012.jpeg,0.037927106,10.698479942555064N,105.12619050239051E
31441,Binh Minh Town-417.jpeg,0.037926305,10.034246273015606N,105.82689926470547E
31442,Tây Ninh City-1123.jpeg,0.037926238,11.387899043327902N,106.1416208892667E
31443,Go Cong Town-522.jpeg,0.037920512,10.398084340744358N,106.65941229431952E
31447,Hoa Lư District-677.jpeg,0.03788476,20.257280311884397N,105.91623801927338E
31448,Binh Minh Town-793.jpeg,0.03788367,10.066585475324505N,105.83510996854169E
31449,Cao Lanh City-1138.jpeg,0.037883267,10.494477542496677N,105.61120587682048E
31450,Hoa Lư District-1171.jpeg,0.037879232,20.308484048875012N,105.91336554377165E
31451,Tam Điệp-916.jpeg,0.03787897,20.170899210707425N,105.93545322864026E
31452,Duy Tiên District-1019.jpeg,0.037876777,20.653732846109186N,105.98496901214044E
31453,Hiệp Hòa District-361.jpeg,0.03787518,21.270222942855153N,105.99774611719289E
31454,Tam Điệp-137.jpeg,0.03786822,20.12239040724266N,105.94119488232268E
31455,Phu Ly City-783.jpeg,0.03785837,20.561279211405186N,105.9531034140996E
31456,Hoa Lư District-480.jpeg,0.03785573,20.23033097662618N,105.93921782328722E
31457,Bac Giang City-76.jpeg,0.0378551,21.240275741120847N,106.22564907988206E
31458,Hiệp Hòa District-1818.jpeg,0.037854273,21.359155749207655N,105.90227351799868E
31459,Phu Ly City-104.jpeg,0.037853755,20.515465341466168N,105.90993402876019E
31460,Phu Ly City-1051.jpeg,0.03785314,20.588228546663434N,105.95885933214484E
31461,Yên Mỹ District-130.jpeg,0.037850596,20.858579940999658N,106.06810746009815E
31462,Bac Giang City-685.jpeg,0.03784979,21.296869345163337N,106.18805419044251E
31463,Thanh Liêm District-1072.jpeg,0.037849277,20.461225079573442N,105.86142699811558E
31464,Tam Điệp-348.jpeg,0.0378396,20.13856000839758N,105.91248661391052E
31465,Hiệp Hòa District-2444.jpeg,0.037836783,21.421139220301846N,105.96013569932849E
31466,Hung Yen City-707.jpeg,0.037836105,20.687986012020108N,106.03168192451274E
31467,Duy Tiên District-233.jpeg,0.03782625,20.602529109118507N,105.97633018332745E
31470,Phu Ly City-976.jpeg,0.037820663,20.58014374608595N,105.90993402876019E
31471,Hiệp Hòa District-2224.jpeg,0.037818093,21.388800017991827N,106.02378409879131E
31472,Bac Giang City-656.jpeg,0.037810083,21.294174411637503N,106.1996218487316E
31473,Mỹ Hào District-288.jpeg,0.037805207,20.917716409218183N,106.09930084455222E
31474,Hiệp Hòa District-2275.jpeg,0.03780285,21.3941898850435N,106.00931855345885E
31475,Hoa Lư District-1274.jpeg,0.037802167,20.319263782978297N,105.95070772529417E
31476,Hiệp Hòa District-876.jpeg,0.03779452,21.305257078690985N,105.9659219174615E
31480,Tây Ninh City-831.jpeg,0.037785694,11.36903450864766N,106.14711856685626E
31481,Long Xuyen City-599.jpeg,0.037778936,10.363703607209557N,105.4002315918643E
31482,Duy Tiên District-1324.jpeg,0.03777464,20.672597380789963N,106.01088549857933E
31484,Phu Ly City-819.jpeg,0.037771378,20.56397414493101N,105.95022545507697E
31485,Hiệp Hòa District-1634.jpeg,0.037770562,21.34837601510432N,105.91384595426463E
31486,Tam Điệp-404.jpeg,0.037769835,20.143949875449223N,105.85507007708617E
31487,Chau Doc City-184.jpeg,0.037761,10.641886338514428N,105.0795677973068E
31488,Hiệp Hòa District-2307.jpeg,0.037755854,21.39957975209516N,105.95145637212903E
31489,Duy Tiên District-405.jpeg,0.03775372,20.618698710273456N,106.0224039369966E
31490,Thái Bình-376.jpeg,0.03775188,20.450027576120366N,106.32344494543611E
