image,pred,lon,lat
Binh Minh Town-861.jpeg,0.9426422,10.074670275901731N,105.81595165959052E
Trà Vinh City-269.jpeg,0.94236964,9.92840437241051N,106.35091834595066E
Thái Bình-173.jpeg,0.94234014,20.433857974965427N,106.32632120285044E
Hiệp Hòa District-624.jpeg,0.9421295,21.28908747753599N,105.94567015399605E
Mỹ Tho-362.jpeg,0.94210815,10.355659805482505N,106.33822797784565E
Phu Ly City-405.jpeg,0.94175255,20.534329876146938N,105.9876389223711E
Hung Yen City-338.jpeg,0.94166076,20.639477208555242N,106.10080552328174E
Yên Mỹ District-374.jpeg,0.94127446,20.880139409206294N,105.97002960685603E
Yên Mỹ District-334.jpeg,0.94118947,20.877444475680456N,105.97291424959843E
Cai Lậy Town-699.jpeg,0.94117385,10.414062840748926N,106.12654083874648E
Chau Doc City-1166.jpeg,0.9409083,10.714649543709534N,105.10425040588055E
Hiệp Hòa District-2439.jpeg,0.9408923,21.41844428677601N,105.96881502652796E
Châu Thành District-320.jpeg,0.9407975,10.262396737830992N,106.24301318852424E
Bac Giang City-201.jpeg,0.94078046,21.25644534227584N,106.19672993415931E
Mỹ Tho-806.jpeg,0.94068635,10.385304074265676N,106.37658258810718E
Bac Giang City-482.jpeg,0.94039994,21.280699744008338N,106.21118950702068E
Hung Yen City-567.jpeg,0.9402161,20.669121477339324N,106.0604834239998E
Phu Ly City-623.jpeg,0.9400649,20.550499477301887N,105.9128119877828E
Hiệp Hòa District-2038.jpeg,0.9391319,21.372630416836827N,105.97170813559445E
Vĩnh Long-90.jpeg,0.9382711,10.235522737248402N,105.95554391083817E
Sa Đéc City-553.jpeg,0.9382668,10.343524275403572N,105.7381231385757E
Phu Ly City-541.jpeg,0.93812144,20.54510961025024N,105.89554423364706E
Cai Lậy Town-1344.jpeg,0.9379244,10.462571644212304N,106.11832032802134E
Phu Ly City-651.jpeg,0.93781835,20.55319441082771N,105.88978831560182E
Duy Tiên District-1464.jpeg,0.93775684,20.688766981944923N,106.01664471778795E
Tam Điệp-592.jpeg,0.93765044,20.1547296095525N,105.92109909443417E
Hiệp Hòa District-1852.jpeg,0.9375536,21.359155749207655N,106.00063922625938E
Hiệp Hòa District-140.jpeg,0.9374241,21.24866347464849N,105.95145637212903E
Yên Mỹ District-43.jpeg,0.93706846,20.847800206896345N,106.04791496090124E
Mỹ Tho-680.jpeg,0.93676364,10.377219273688445N,106.34370720788299E
Bến Tre City-220.jpeg,0.9367533,10.221940538394358N,106.36527767355018E
Vĩnh Long-18.jpeg,0.9367211,10.227437936671175N,105.95280524729999E
Cao Lanh City-737.jpeg,0.93667495,10.45944340666201N,105.64957253710186E
Châu Thành District-2195.jpeg,0.9365172,10.313600474820104N,106.23205724457637E
Cao Lanh City-636.jpeg,0.9360116,10.451358606084778N,105.6440915856331E
Châu Thành District-1529.jpeg,0.9359432,10.294735940139905N,106.25944710444604E
Hung Yen City-432.jpeg,0.9358744,20.650256942658544N,106.07776432369208E
Long Hồ District-1327.jpeg,0.9358444,10.221363642418622N,105.9345328281047E
Hiệp Hòa District-345.jpeg,0.9355701,21.270222942855153N,105.95145637212903E
Tam Điệp-367.jpeg,0.93509036,20.141254941923396N,105.85794090392736E
Bac Giang City-805.jpeg,0.9345892,21.310344012792505N,106.16491887386432E
Yên Mỹ District-1081.jpeg,0.9338536,20.931343146197026N,106.05945353187091E
Hiệp Hòa District-1500.jpeg,0.93348664,21.340291214526815N,105.95434948119552E
Hiệp Hòa District-1892.jpeg,0.93326867,21.36185068273349N,105.98906678999342E
