image,pred,lon,lat
Tây Ninh City-1662.jpeg,0.9607483744621277,11.431017979739876N,106.11413250131899E
Cao Lanh City-112.jpeg,0.9607037678360939,10.416324470250116N,105.66875586724257E
Hiệp Hòa District-1396.jpeg,0.9606754407286644,21.334901347475153N,105.963028808395E
Sa Đéc City-288.jpeg,0.9606736376881599,10.303100272517428N,105.74360167274783E
Hiệp Hòa District-1802.jpeg,0.9606215804815292,21.356460815681825N,105.98617368092694E
Thanh Liêm District-967.jpeg,0.9605520367622375,20.45314027899597N,105.97359543426047E
Hung Yen City-293.jpeg,0.9604758024215698,20.63678227502942N,106.0604834239998E
Hiệp Hòa District-1859.jpeg,0.9604352489113808,21.359155749207655N,106.0208909897248E
Hiệp Hòa District-1568.jpeg,0.9602086171507835,21.34298614805265N,106.00063922625938E
Chau Doc City-1166.jpeg,0.9601502493023872,10.714649543709534N,105.10425040588055E
Mỹ Tho-806.jpeg,0.960137315094471,10.385304074265676N,106.37658258810718E
Hoa Lư District-975.jpeg,0.9600873365998268,20.28961951419425N,105.95358020079591E
Thanh Liêm District-338.jpeg,0.9600148797035217,20.415411209634446N,105.90456870432516E
Cao Lanh City-797.jpeg,0.9599569067358971,10.464833273713497N,105.64683206136746E
Hiệp Hòa District-2439.jpeg,0.9599347785115242,21.41844428677601N,105.96881502652796E
Trà Vinh City-353.jpeg,0.9599306583404541,9.947268907090702N,106.34271004660732E
Binh Minh Town-269.jpeg,0.9598598778247833,10.020771605386901N,105.83510996854167E
Tây Ninh City-363.jpeg,0.9598382711410522,11.334000372812936N,106.13612321167716E
Hung Yen City-129.jpeg,0.9597948044538498,20.623307607400292N,106.05760327405113E
Vĩnh Long-90.jpeg,0.9597762525081635,10.235522737248402N,105.95554391083817E
Hung Yen City-731.jpeg,0.959650456905365,20.69068094554593N,106.03456207446143E
Hoa Lư District-151.jpeg,0.9596135169267654,20.200686707842156N,105.97081505380626E
Tam Điệp-418.jpeg,0.9595951363444328,20.143949875449223N,105.89526165286318E
Vĩnh Long-142.jpeg,0.9595409333705902,10.240912604299886N,105.92541861191818E
Chau Doc City-790.jpeg,0.959429070353508,10.685005274926342N,105.0740827731793E
Thanh Liêm District-1241.jpeg,0.9594124108552933,20.46930988015091N,105.94195818304013E
Long Hồ District-1991.jpeg,0.9593949615955353,10.286042047036446N,105.9810871675847E
Phu Ly City-651.jpeg,0.9593113958835602,20.55319441082771N,105.88978831560182E
Tam Điệp-550.jpeg,0.9592961370944977,20.15203467602668N,105.92971157495782E
Mỹ Tho-283.jpeg,0.9592336490750313,10.350269938431014N,106.34370720788299E
Bac Giang City-743.jpeg,0.959207333624363,21.302259212215N,106.17937844672568E
Phu Ly City-771.jpeg,0.9591756761074066,20.561279211405186N,105.91856790582808E
