,Unnamed: 0.1,Unnamed: 0,district,index,longitude,latitude,geometry,sum
568,17979,22318,Mỹ Tho,239,11836297.500157416,1158200.0009656814,POINT (11836297.500157416 1158200.0009656814),711
569,18056,22399,Mỹ Tho,320,11836907.445255116,1158809.9230056242,POINT (11836907.445255116 1158809.9230056242),484
570,18641,22984,Mỹ Tho,905,11837517.390352815,1163384.672812309,POINT (11837517.390352815 1163384.672812309),696
571,18641,22984,Mỹ Tho,905,11837517.390352815,1163384.672812309,POINT (11837517.390352815 1163384.672812309),696
572,18672,23015,Mỹ Tho,936,11836297.500157416,1163689.6771559936,POINT (11836297.500157416 1163689.6771559936),665
573,2944,3431,Cai Lậy Town,588,11812122.279684847,1164809.4986612974,POINT (11812122.279684847 1164809.4986612974),623
574,3079,3571,Cai Lậy Town,728,11813647.451464817,1166029.5810561515,POINT (11813647.451464817 1166029.5810561515),571
575,2489,2969,Cai Lậy Town,126,11811512.21097286,1161149.504216807,POINT (11811512.21097286 1161149.504216807),165
576,10119,12155,Go Cong Town,824,11869611.2414715,1166966.3008825283,POINT (11869611.2414715 1166966.3008825283),236
577,10394,12496,Go Cong Town,1165,11871136.334572325,1170626.8988474598,POINT (11871136.334572325 1170626.8988474598),684
578,10307,12364,Go Cong Town,1033,11872966.44629331,1168491.5037679574,POINT (11872966.44629331 1168491.5037679574),667
579,10209,12256,Go Cong Town,925,11875711.61387479,1167576.374112485,POINT (11875711.61387479 1167576.374112485),494
580,9663,11659,Go Cong Town,328,11875711.61387479,1161476.1162716,POINT (11875711.61387479 1161476.1162716),359
581,9799,11796,Go Cong Town,465,11871441.353192488,1163306.0830378523,POINT (11871441.353192488 1163306.0830378523),529
582,24722,30613,Tây Ninh City,53,11810735.20000735,1266639.6984006572,POINT (11810735.20000735 1266639.6984006572),727
583,24771,30662,Tây Ninh City,102,11811041.199342256,1267251.571790282,POINT (11811041.199342256 1267251.571790282),861
584,24890,30781,Tây Ninh City,221,11808593.204663,1268781.3056413175,POINT (11808593.204663 1268781.3056413175),749
585,25137,31064,Tây Ninh City,504,11810429.20067244,1271535.0081759468,POINT (11810429.20067244 1271535.0081759468),698
586,25164,31096,Tây Ninh City,536,11810123.201337537,1271840.9895554385,POINT (11810123.201337537 1271840.9895554385),738
587,25454,31534,Tây Ninh City,974,11808899.203997906,1275206.97555963,POINT (11808899.203997906 1275206.97555963),442
