,district,index,longitude,latitude,geometry,sum
436,Hiep Binh Phuoc Ward,85,11880603.255026678,1214056.1383201913,POINT (11880603.255026678 1214056.1383201913),819
437,Hiep Binh Phuoc Ward,86,11877701.358922765,1214208.863564738,POINT (11877701.358922765 1214208.863564738),25
438,Hiep Binh Phuoc Ward,87,11877854.090296656,1214208.863564738,POINT (11877854.090296656 1214208.863564738),47
439,Hiep Binh Phuoc Ward,88,11878006.821670547,1214208.863564738,POINT (11878006.821670547 1214208.863564738),128
440,Hiep Binh Phuoc Ward,89,11878159.553044435,1214208.863564738,POINT (11878159.553044435 1214208.863564738),173
441,Hiep Binh Phuoc Ward,90,11878312.284418326,1214208.863564738,POINT (11878312.284418326 1214208.863564738),130
442,Hiep Binh Phuoc Ward,91,11878465.015792217,1214208.863564738,POINT (11878465.015792217 1214208.863564738),97
443,Hiep Binh Phuoc Ward,92,11878617.747166106,1214208.863564738,POINT (11878617.747166106 1214208.863564738),251
444,Hiep Binh Phuoc Ward,93,11878770.478539996,1214208.863564738,POINT (11878770.478539996 1214208.863564738),612
445,Hiep Binh Phuoc Ward,94,11878923.209913887,1214208.863564738,POINT (11878923.209913887 1214208.863564738),842
446,Hiep Binh Phuoc Ward,95,11879075.941287776,1214208.863564738,POINT (11879075.941287776 1214208.863564738),749
447,Hiep Binh Phuoc Ward,96,11879228.672661666,1214208.863564738,POINT (11879228.672661666 1214208.863564738),735
448,Hiep Binh Phuoc Ward,97,11879381.404035557,1214208.863564738,POINT (11879381.404035557 1214208.863564738),842
449,Hiep Binh Phuoc Ward,98,11879534.135409446,1214208.863564738,POINT (11879534.135409446 1214208.863564738),881
450,Hiep Binh Phuoc Ward,99,11879686.866783336,1214208.863564738,POINT (11879686.866783336 1214208.863564738),877
451,Hiep Binh Phuoc Ward,100,11879839.598157227,1214208.863564738,POINT (11879839.598157227 1214208.863564738),848
452,Hiep Binh Phuoc Ward,101,11879992.329531116,1214208.863564738,POINT (11879992.329531116 1214208.863564738),752
453,Hiep Binh Phuoc Ward,102,11880145.060905008,1214208.863564738,POINT (11880145.060905008 1214208.863564738),777
454,Hiep Binh Phuoc Ward,103,11880297.792278897,1214208.863564738,POINT (11880297.792278897 1214208.863564738),729
455,Hiep Binh Phuoc Ward,104,11880450.523652788,1214208.863564738,POINT (11880450.523652788 1214208.863564738),639
456,Hiep Binh Phuoc Ward,105,11880603.255026678,1214208.863564738,POINT (11880603.255026678 1214208.863564738),769
457,Hiep Binh Phuoc Ward,108,11878006.821670547,1214361.5894971876,POINT (11878006.821670547 1214361.5894971876),7
458,Hiep Binh Phuoc Ward,109,11878159.553044435,1214361.5894971876,POINT (11878159.553044435 1214361.5894971876),56
459,Hiep Binh Phuoc Ward,110,11878312.284418326,1214361.5894971876,POINT (11878312.284418326 1214361.5894971876),132
460,Hiep Binh Phuoc Ward,111,11878465.015792217,1214361.5894971876,POINT (11878465.015792217 1214361.5894971876),170
461,Hiep Binh Phuoc Ward,112,11878617.747166106,1214361.5894971876,POINT (11878617.747166106 1214361.5894971876),252
462,Hiep Binh Phuoc Ward,113,11878770.478539996,1214361.5894971876,POINT (11878770.478539996 1214361.5894971876),580
463,Hiep Binh Phuoc Ward,114,11878923.209913887,1214361.5894971876,POINT (11878923.209913887 1214361.5894971876),791
464,Hiep Binh Phuoc Ward,115,11879075.941287776,1214361.5894971876,POINT (11879075.941287776 1214361.5894971876),668
465,Hiep Binh Phuoc Ward,116,11879228.672661666,1214361.5894971876,POINT (11879228.672661666 1214361.5894971876),622
466,Hiep Binh Phuoc Ward,117,11879381.404035557,1214361.5894971876,POINT (11879381.404035557 1214361.5894971876),766
467,Hiep Binh Phuoc Ward,118,11879534.135409446,1214361.5894971876,POINT (11879534.135409446 1214361.5894971876),854
468,Hiep Binh Phuoc Ward,119,11879686.866783336,1214361.5894971876,POINT (11879686.866783336 1214361.5894971876),855
469,Hiep Binh Phuoc Ward,120,11879839.598157227,1214361.5894971876,POINT (11879839.598157227 1214361.5894971876),841
470,Hiep Binh Phuoc Ward,121,11879992.329531116,1214361.5894971876,POINT (11879992.329531116 1214361.5894971876),817
471,Hiep Binh Phuoc Ward,122,11880145.060905008,1214361.5894971876,POINT (11880145.060905008 1214361.5894971876),833
472,Hiep Binh Phuoc Ward,123,11880297.792278897,1214361.5894971876,POINT (11880297.792278897 1214361.5894971876),850
473,Hiep Binh Phuoc Ward,124,11880450.523652788,1214361.5894971876,POINT (11880450.523652788 1214361.5894971876),738
474,Hiep Binh Phuoc Ward,125,11880603.255026678,1214361.5894971876,POINT (11880603.255026678 1214361.5894971876),714
475,Hiep Binh Phuoc Ward,126,11880755.986400567,1214361.5894971876,POINT (11880755.986400567 1214361.5894971876),831
476,Hiep Binh Phuoc Ward,131,11878312.284418326,1214514.3161176303,POINT (11878312.284418326 1214514.3161176303),45
477,Hiep Binh Phuoc Ward,132,11878465.015792217,1214514.3161176303,POINT (11878465.015792217 1214514.3161176303),115
478,Hiep Binh Phuoc Ward,133,11878617.747166106,1214514.3161176303,POINT (11878617.747166106 1214514.3161176303),145
479,Hiep Binh Phuoc Ward,134,11878770.478539996,1214514.3161176303,POINT (11878770.478539996 1214514.3161176303),330
480,Hiep Binh Phuoc Ward,135,11878923.209913887,1214514.3161176303,POINT (11878923.209913887 1214514.3161176303),477
481,Hiep Binh Phuoc Ward,136,11879075.941287776,1214514.3161176303,POINT (11879075.941287776 1214514.3161176303),466
482,Hiep Binh Phuoc Ward,137,11879228.672661666,1214514.3161176303,POINT (11879228.672661666 1214514.3161176303),454
483,Hiep Binh Phuoc Ward,138,11879381.404035557,1214514.3161176303,POINT (11879381.404035557 1214514.3161176303),653
484,Hiep Binh Phuoc Ward,139,11879534.135409446,1214514.3161176303,POINT (11879534.135409446 1214514.3161176303),879
485,Hiep Binh Phuoc Ward,140,11879686.866783336,1214514.3161176303,POINT (11879686.866783336 1214514.3161176303),875
486,Hiep Binh Phuoc Ward,141,11879839.598157227,1214514.3161176303,POINT (11879839.598157227 1214514.3161176303),854
487,Hiep Binh Phuoc Ward,142,11879992.329531116,1214514.3161176303,POINT (11879992.329531116 1214514.3161176303),876
488,Hiep Binh Phuoc Ward,143,11880145.060905008,1214514.3161176303,POINT (11880145.060905008 1214514.3161176303),898
489,Hiep Binh Phuoc Ward,144,11880297.792278897,1214514.3161176303,POINT (11880297.792278897 1214514.3161176303),878
490,Hiep Binh Phuoc Ward,145,11880450.523652788,1214514.3161176303,POINT (11880450.523652788 1214514.3161176303),824
491,Hiep Binh Phuoc Ward,146,11880603.255026678,1214514.3161176303,POINT (11880603.255026678 1214514.3161176303),826
492,Hiep Binh Phuoc Ward,147,11880755.986400567,1214514.3161176303,POINT (11880755.986400567 1214514.3161176303),881
493,Hiep Binh Phuoc Ward,154,11878617.747166106,1214667.0434261567,POINT (11878617.747166106 1214667.0434261567),2
494,Hiep Binh Phuoc Ward,155,11878770.478539996,1214667.0434261567,POINT (11878770.478539996 1214667.0434261567),56
495,Hiep Binh Phuoc Ward,156,11878923.209913887,1214667.0434261567,POINT (11878923.209913887 1214667.0434261567),191
496,Hiep Binh Phuoc Ward,157,11879075.941287776,1214667.0434261567,POINT (11879075.941287776 1214667.0434261567),340
497,Hiep Binh Phuoc Ward,158,11879228.672661666,1214667.0434261567,POINT (11879228.672661666 1214667.0434261567),258
498,Hiep Binh Phuoc Ward,159,11879381.404035557,1214667.0434261567,POINT (11879381.404035557 1214667.0434261567),450
499,Hiep Binh Phuoc Ward,160,11879534.135409446,1214667.0434261567,POINT (11879534.135409446 1214667.0434261567),831
500,Hiep Binh Phuoc Ward,161,11879686.866783336,1214667.0434261567,POINT (11879686.866783336 1214667.0434261567),848
501,Hiep Binh Phuoc Ward,162,11879839.598157227,1214667.0434261567,POINT (11879839.598157227 1214667.0434261567),883
502,Hiep Binh Phuoc Ward,163,11879992.329531116,1214667.0434261567,POINT (11879992.329531116 1214667.0434261567),982
503,Hiep Binh Phuoc Ward,164,11880145.060905008,1214667.0434261567,POINT (11880145.060905008 1214667.0434261567),942
504,Hiep Binh Phuoc Ward,165,11880297.792278897,1214667.0434261567,POINT (11880297.792278897 1214667.0434261567),854
505,Hiep Binh Phuoc Ward,166,11880450.523652788,1214667.0434261567,POINT (11880450.523652788 1214667.0434261567),829
506,Hiep Binh Phuoc Ward,167,11880603.255026678,1214667.0434261567,POINT (11880603.255026678 1214667.0434261567),823
507,Hiep Binh Phuoc Ward,168,11880755.986400567,1214667.0434261567,POINT (11880755.986400567 1214667.0434261567),848
508,Hiep Binh Phuoc Ward,172,11878159.553044435,1214819.7714228574,POINT (11878159.553044435 1214819.7714228574),36
509,Hiep Binh Phuoc Ward,173,11878312.284418326,1214819.7714228574,POINT (11878312.284418326 1214819.7714228574),45
