Unnamed: 0,image,pred,lat,lon,found_Anditi
7320,Châu Thành District-10336.jpeg,0.8925783857703209,10.328422609211742N,106.36489806494536E,[]
7323,Bac Giang City-1961.jpeg,0.8925335109233856,21.28204721077117N,106.1562431301475E,[]
7324,Vĩnh Long-464.jpeg,0.8925216421484947,10.238217670774157N,105.95554391083778E,[]
7326,Hiệp Hòa District-7585.jpeg,0.892480880022049,21.361850682733312N,106.01510477159182E,[]
7329,Go Cong Town-1264.jpeg,0.8924129381775856,10.37652487253844N,106.6361220488026E,[]
7332,Long Hồ District-7176.jpeg,0.8923441097140312,10.271219912644948N,106.03585697873764E,[]
7336,Hung Yen City-2199.jpeg,0.8922854065895081,20.66777401057633N,106.05040289917935E,[]
7337,Bến Tre City-1677.jpeg,0.8922650888562202,10.238110139548848N,106.37760105817705E,"['719.jpeg', '708.jpeg', '694.jpeg']"
7339,Vĩnh Long-1853.jpeg,0.8922361582517624,10.262472072505853N,105.90898663068893E,[]
7343,Long Xuyen City-2659.jpeg,0.8921426087617874,10.369093474261087N,105.38927280790173E,[]
7345,Châu Thành District-3567.jpeg,0.8921171724796295,10.278566338985474N,106.30327088023832E,[]
7350,Tây Ninh City-6768.jpeg,0.892068088054657,11.43910278031722N,106.16086276082966E,[]
7351,Trà Vinh City-2560.jpeg,0.8920349031686783,9.980955576162524N,106.33176564748287E,['723.jpeg']
7353,Binh Minh Town-1594.jpeg,0.892009325325489,10.031551339489894N,105.87890038900191E,[]
7357,Tây Ninh City-6566.jpeg,0.891893595457077,11.428323046214217N,106.17460695480347E,[]
7358,Long Hồ District-2812.jpeg,0.8918768092989922,10.17959217276965N,105.92220962059528E,[]
7362,Trà Vinh City-1143.jpeg,0.8917072266340256,9.935141706224899N,106.32629344792062E,[]
7366,Vĩnh Long-78.jpeg,0.891638495028019,10.227437936671176N,105.96786789675951E,[]
7367,Cao Lanh City-3478.jpeg,0.8916355445981026,10.47291807429077N,105.60572492535172E,[]
7370,Cai Lậy Town-5107.jpeg,0.8916049674153328,10.45718177716089N,106.11009981729622E,[]
7371,Sa Đéc City-2317.jpeg,0.8915954455733299,10.348914142455113N,105.71346973480124E,[]
7376,Tây Ninh City-4941.jpeg,0.8915106877684593,11.395983843905213N,106.10863482372925E,[]
7379,Chau Doc City-1376.jpeg,0.8914976939558983,10.655361006143185N,105.12344799032675E,['960.jpeg']
7382,Châu Thành District-2513.jpeg,0.8914852291345596,10.271829005171114N,106.26218609043362E,[]
7383,Vĩnh Long-198.jpeg,0.8914254829287529,10.231480336959795N,105.9706065602977E,[]
7384,Duy Tiên District-2468.jpeg,0.8914179280400276,20.632173377902483N,105.93745545366913E,[]
7386,Duy Tiên District-1883.jpeg,0.8913383781909943,20.624088577325022N,105.91729818643888E,[]
7392,Cai Lậy Town-5164.jpeg,0.891295351088047,10.45718177716089N,106.1881946691849E,[]
7394,Hiệp Hòa District-5036.jpeg,0.8912403509020805,21.328164013660434N,105.90516662706519E,[]
7399,Yên Mỹ District-1427.jpeg,0.8911402300000191,20.877444475680402N,106.07387674558356E,[]
7401,Go Cong Town-2249.jpeg,0.8910978361964226,10.402126741033015N,106.65941229431952E,[]
7402,Duy Tiên District-2275.jpeg,0.8910875990986824,20.629478444376662N,105.93313603926266E,[]
7403,Châu Thành District-9494.jpeg,0.8910809457302094,10.318990341871643N,106.25807761145315E,[]
7407,Go Cong Town-1372.jpeg,0.8910454884171486,10.379219806064183N,106.64297212101346E,[]
7408,Go Cong Town-2336.jpeg,0.8910126239061356,10.404821674558763N,106.62790196214955E,[]
7411,Mỹ Tho-1172.jpeg,0.8909732401371002,10.350269938431039N,106.38069201063568E,[]
7412,Long Hồ District-5756.jpeg,0.8909668177366257,10.229448442995913N,105.9865641487E,[]
7419,Cai Lậy Town-6179.jpeg,0.8908987268805504,10.477393778603979N,106.15942288164696E,[]
7422,Trà Vinh City-1528.jpeg,0.8908083215355873,9.952658774142225N,106.3495502960601E,[]
7423,Bến Tre City-1657.jpeg,0.8908029869198799,10.238110139548848N,106.35021575900566E,['707.jpeg']
7432,Cao Lanh City-2133.jpeg,0.89051653444767,10.444621272270446N,105.59887373601575E,[]
7433,Cai Lậy Town-1029.jpeg,0.8904884606599808,10.381723638440027N,106.1854544989432E,[]
7435,Ninh Bình-1072.jpeg,0.890455923974514,20.24287494224271N,105.95721863258582E,[]
7437,Yên Mỹ District-2293.jpeg,0.890436626970768,20.89226661007244N,105.98301049919701E,[]
7442,Châu Thành District-2116.jpeg,0.8903118148446083,10.269134071645368N,106.2238402866159E,[]
7443,Trà Vinh City-1481.jpeg,0.8903025910258293,9.951311307379353N,106.3372378470451E,[]
7444,Long Hồ District-6969.jpeg,0.8902885690331459,10.267177512356332N,106.03174924290117E,[]
7449,Long Hồ District-4154.jpeg,0.8901861682534218,10.197109240686984N,106.00299509204586E,[]
7450,Long Hồ District-1468.jpeg,0.8901790380477905,10.163422571615186N,105.9235788658741E,['652.jpeg']
7451,Bến Tre City-516.jpeg,0.8901679739356041,10.211160804291403N,106.40772488726557E,[]
7454,Bến Tre City-2918.jpeg,0.890136331319809,10.259669607754798N,106.39677076759702E,[]
7455,Tam Điệp-803.jpeg,0.890106812119484,20.127780274294267N,105.91248661391052E,[]
7458,Binh Minh Town-3849.jpeg,0.890031173825264,10.085450010004763N,105.84468912301752E,[]
7465,Cai Lậy Town-4653.jpeg,0.8899000287055969,10.449096976583652N,106.09091862560427E,[]
7469,Mỹ Tho-2224.jpeg,0.8898669928312302,10.367787006348378N,106.3998693157666E,[]
7472,Long Hồ District-1321.jpeg,0.8898307085037231,10.16072763808944N,106.02216452594939E,[]
7475,Tây Ninh City-6631.jpeg,0.8898067325353622,11.431017979739966N,106.12650227589519E,[]
7477,Yên Mỹ District-3347.jpeg,0.8897639140486717,20.909783677990298N,106.03493406856072E,[]
7478,Trà Vinh City-1771.jpeg,0.889743834733963,9.960743574719457N,106.3358697971545E,[]
7483,Cai Lậy Town-1567.jpeg,0.8896789401769638,10.391155905780133N,106.15394254116356E,[]
7487,Sa Đéc City-997.jpeg,0.8896119222044945,10.297710405465965N,105.75044984046319E,[]
7489,Long Hồ District-7519.jpeg,0.8895859569311142,10.277957246459307N,106.01942603539176E,[]
7491,Châu Thành District-5012.jpeg,0.889492467045784,10.28799860632558N,106.17453853885024E,[]
7494,Cai Lậy Town-4519.jpeg,0.8894338607788086,10.446402043057908N,106.11695024290049E,[]
7504,Phu Ly City-3811.jpeg,0.8892581388354301,20.577448812560007N,105.93871361898678E,[]
7505,Bac Giang City-2221.jpeg,0.8892470002174377,21.286089611059918N,106.20251376330387E,[]
